젠타임,요일,평균기온(섭씨),일출시간,사장님에 나에게 네이트온으로 보낸 라인 수,내가 사장님과 점심을 먹음,비고,,일출시간,http://weather.naver.com/life/sunRiseSetView.nhn,,,
2016-7-8 오후 5:55,목,,,,FALSE,"성준이, 병철이 온 날",,,,,,
2016-7-12 오전 11:56,화,,,,FALSE,,,,,,,
2016-7-26 오전 9:24,화,,,,TRUE,,,,,,,
2016-7-27 오전 11:21,수,,,,FALSE,,,,,,,
2016-8-1 오전 10:35,월,,,,FALSE,아임닭 먹음,,,,,,
2016-8-3 오전 10:35,수,,,,TRUE,,,,,,,
2016-8-4 오전 11:28,목,,,,TRUE,,,,,,,
2016-8-9 오전 9:59,화,,,,TRUE,,,,,,,
2016-8-18 오후 12:18,목,,,,FALSE,,,,,,,
2016-8-19 오전 11:52,금,,,,TRUE,,,,,,,
2016-8-24 오전 11:44,수,,,,TRUE,,,,,,,
2016-9-6 오전 10:21,화,,,,FALSE,,,,,,,
2016-9-8 오전 11:19,목,,,,TRUE,,,,,,,
2016-9-20 오전 9:36,화,,,,TRUE,,,,,,,
2016-9-27 오전 10:26,화,,,,TRUE,,,,,,,
2016-10-6 오전 11:45,금,,,,FALSE,,,,,,,
2016-10-11 오전 10:23,화,,,,TRUE,,,,,,,
2016-10-18 오전 8:32,화,,,,TRUE,,,,,,,
2016-10-20 오전 10:04,목,,,,TRUE,,,,,,,
2016-10-25 오전 11:21,화,,,,TRUE,갈비탕,,,,,,
2016-10-27 오전 11:51,목,,,,TRUE,제육?오징어?순두부?,,,,,,
2016-10-31 오전 10:55,월,,,,TRUE,뼈해장국,,,,,,
2016-11-2 오전 11:50,수,,,,FALSE,추정시간 오차 (+- 10),,,,,,
2016-11-3 오전 11:38,목,,,,FALSE,안 먹어,,,,,,
2016-11-15 오후 3:18,화,,,,FALSE,,,,,,,
2016-11-17 오전 11:16,목,,,,TRUE,뼈해장국,,,,,,
2016-11-22 오전 11:14,화,,,,FALSE,집에서 밤먹고옴,,,,,,
2016-11-24 오전 10:59,목,,,,TRUE,동태,,,,,,
2016-11-29 오전 9:24,화,,,,FALSE,"호빵, 두유 먹음",,,,,,
2016-12-1 오전 9:50,목,,,,FALSE,롤케익 먹음,,,,,,
2016-12-2 오전 11:22,금,,,,FALSE,,,,,,,
2016-12-6 오전 10:06,화,,,,FALSE,고구마 먹음,,,,,,
2016-12-7 오전 11:38,수,,,,FALSE,호빵 먹음,,,,,,
2016-12-8 오전 8:50,목,,,,FALSE,"9시 전에 오셔서 언제 오셨나 모름, 점심 굶음",,,,,,
2016-12-13 오전 10:40,화,,,,FALSE,고구마 먹음,,,,,,
2016-12-15 오전 11:28,목,,,,FALSE,"닭가슴살 먹음, 제혁이 이직한다고 오후에 말한 날",,,,,,
2016-12-16 오전 11:27,금,,,,FALSE,닭가슴살 먹음,,,,,,
2016-12-20 오전 11:39,화,,,,FALSE,닭가슴살 먹음,,,,,,
2016-12-23 오후 2:04,금,,,,FALSE,"닭가슴살 먹음, 점심 이후에 옴, 추정시간 오차 (+- 2)",,,,,,
2016-12-27 오전 11:30,화,,,,FALSE,"닭가슴살 먹음, 추정시간 오차 (+- 30)",,,,,,
2016-12-30 오후 1:16,금,,,,FALSE,"닭가슴살 먹음, 종무식",,,,,,
2017-1-2 오후 2:45,월,,,,FALSE,"닭가슴살 먹음, 시무식",,,,,,
2017-1-4 오전 10:06,수,,,,FALSE,닭가슴살 먹음,,,,,,
2017-1-6 오전 10:14,금,,,,FALSE,닭가슴살 먹음,,,,,,
2017-1-10 오전 10:24,화,,,,FALSE,고구마 먹음,,,,,,
2017-1-11 오전 11:50,수,,,,FALSE,고구마 먹음,,,,,,
2017-1-13 오전 11:17,금,,,,FALSE,고구마 먹음,,,,,,
2017-1-16 오전 10:43,월,,,,FALSE,"고구마 먹음, 추정시간 오차 (+- 23)",,,,,,
2017-1-18 오후 1:30,수,,,,FALSE,점심 이후에 옴,,,,,,
2017-1-19 오전 8:52,목,,,,FALSE,"9시 이전에 와서 언제 왔나 모름, 준수씨랑 밥먹음",,,,,,
2017-1-20 오전 9:27,금,,,,,,,,,,,
